9003250689;55320#2171,55320#2172,55320#28903,55320#31567
9030025234;64969#64131,770655#2
9030622835;55168#13985,55168#2191,55168#2192,55168#2371,55168#28142,55168#28863,55168#4487,55168#806,55168#957,55168#958
9031243943;27911#11254,27911#14928,27911#32639,27911#32878,27911#33297,27911#44242,27911#504,27911#54172,27911#6181,27911#6185
9032358763;26897#18732,26897#18736,26897#18737,26897#25381,26897#58146,26897#685,26897#945,26898#48436,26899#38987,26899#59728
9036382490;45007#40681
9037784293;27650#53693,27905#42041,27905#42042,27905#42046
9053105353;51601#20456,51601#417,51601#48752
9053988066;58190#8036
9054332026;58001#18373,58191#20731,58191#20735,58191#8731,58191#8735,58191#8737
9055213595;39001#26011,39001#36815,39001#36816,39003#26107
9056524308;30094#30592,30094#30726,30094#39652,30094#39656,30094#40511
9065287803;45005#22011,45005#22015,45005#22023,45005#22027,45005#22961,45005#32492,45005#32506,45005#62733
9065725437;12111#18643,12111#18646,12111#18648,12111#18649,12111#4201,12111#4888,12111#4925,12111#4926,12111#55982,12111#55985,12111#55986
9093787306;63634#9065,63634#9236
9099489280;27435#13733,27435#34662,27435#34693,27435#8480,27435#8489
9604484777;61192#24502,61192#24503,61192#24506,61192#50953,61192#50955,61192#50956,61192#54543,61192#54547,61192#60017,61192#61052,61192#61643,61192#61647
9605058283;41003#29171,41003#29172,41003#29175,41003#29176,41003#29186,41003#29202
9610174600;42007#30412,42007#30416
9613023684;61221#14321,61221#24515,61221#25062,61221#34863,61221#54032,61221#54033,61221#54036,61221#54037,61221#61047,61221#6903
9647005191;27684#24532,27684#42857,27684#44195,27684#62073
9653936232;37010#20342,38001#19076,38001#19077,770244#1,770244#2,770244#3,770244#4,770244#5,770244#6
9655828111;55168#3701,55168#48706
9678249900;58164#14602,58164#14606,58164#14609,58164#14653,58164#15792,58164#15796,58164#15799,58166#14829
9687021762;27913#13048,27913#13049,27913#21753,27913#22898,27913#28595,27913#56564
9031674072;27909#32359,27909#33239,27909#65144,27911#22705,27911#45790,27911#57375
9033003081;16303#12301,16303#12304,16303#12307,16303#12308,16303#12835
9035037792;65014#45893,65014#45897
9036906075;14751#20581,14751#2285,14751#2286,14751#4409,14751#4530,14751#46320,14751#46328,14751#62760,14751#6778
9037747268;65014#15125,65014#15126,65014#27939,65014#27940,65014#37023,65014#37027,65014#45881,65014#45893,65014#45897,65014#50182,65014#50183,65014#59088,65014#60234,65014#60239,773192#2,774583#1
9037786733;64971#22537,64971#22539,64971#39256,64971#39258
9054264528;61221#61071,61221#61072,61221#61073,61221#61076,61221#61077
9056066416;42007#21395,42007#21397
9056072121;42007#11627,42007#1181,42007#11835,42007#45135,42007#5027,42007#5835
9056224320;44101#55295,44101#55297,44102#25533,44102#25537,44102#25916,44102#4207
9060712774;27678#11480,27678#15317,27678#29807,27678#29808,27678#30879,27678#46569,27678#50651,27678#50655,27678#50656,27678#50657,771200#3
9061406203;51175#30227,51175#60242,51175#60246
9093626747;16350#54012,16350#54013,16350#54016,16350#54017,16350#64153
9278295900;51177#52041,51177#52042,51177#52045,51177#52046,51177#52882,51177#52886,51177#52902,51177#62173
9290592740;34116#34105,34116#5071,34116#5078,34116#5101,34116#5108,34116#5230,34116#5232,34116#5239,34116#5386,34116#5387,34116#5593,34116#6387,34116#6590
9600425681;51601#2442,51601#2443,51601#2542,51601#2611,51601#398,51601#41986,51601#48733,51601#49021,51601#49022,51601#49026,51601#51907,51601#61536
9606454290;34116#13570,34116#34577,34116#5405,34116#5406,34116#5570,34116#5573,34116#5598,34116#6408
9611030544;23032#33621,23032#33625,23032#33632,23032#33636
9613251385;61192#11212,61192#11213,61192#41213,61192#41217
9615879772;62353#36617
9616485631;56401#14073,56401#14076,56401#26717,56401#2751,56401#2752,56401#2753,56401#47371,56401#8411,56401#8415
9651392286;27911#2976,27911#41901,27911#41902,27911#41906,27911#5399,27911#5400,27911#8121,27911#8122,27912#13877,27912#5523
